"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-17T19:00:00Z","66.439","66.584","66.119","66.484","8708"
"XAGUSD","30m","2025-12-17T19:30:00Z","66.484","66.8137","66.422","66.752","8919"
"XAGUSD","30m","2025-12-17T20:00:00Z","66.752","66.884","66.4113","66.429","8463"
"XAGUSD","30m","2025-12-17T20:30:00Z","66.4283","66.656","65.967","66.2677","9774"
"XAGUSD","30m","2025-12-17T21:00:00Z","66.2643","66.6447","66.139","66.525","6596"
"XAGUSD","30m","2025-12-17T21:30:00Z","66.5237","66.5847","66.199","66.4893","8217"
"XAGUSD","30m","2025-12-17T22:00:00Z","66.4893","66.8093","66.3187","66.614","6779"
"XAGUSD","30m","2025-12-17T22:30:00Z","66.614","66.6853","66.25","66.4477","8209"
"XAGUSD","30m","2025-12-17T23:00:00Z","66.4477","66.5927","66.4097","66.4347","1321"
"XAGUSD","30m","2025-12-17T23:30:00Z","66.4347","66.4397","66.164","66.2063","2139"
"XAGUSD","30m","2025-12-18T01:00:00Z","66.216","66.269","66.005","66.2247","1096"
"XAGUSD","30m","2025-12-18T01:30:00Z","66.234","66.5093","66.194","66.3003","3043"
"XAGUSD","30m","2025-12-18T02:00:00Z","66.3053","66.3983","66.1763","66.2547","4823"
"XAGUSD","30m","2025-12-18T02:30:00Z","66.26","66.416","66.235","66.3223","4628"
"XAGUSD","30m","2025-12-18T03:00:00Z","66.3223","66.4197","65.599","65.599","14492"
"XAGUSD","30m","2025-12-18T03:30:00Z","65.6041","66.2667","65.532","66.2593","7094"
"XAGUSD","30m","2025-12-18T04:00:00Z","66.261","66.384","66.097","66.2777","6962"
"XAGUSD","30m","2025-12-18T04:30:00Z","66.2727","66.5077","66.2537","66.379","4884"
"XAGUSD","30m","2025-12-18T05:00:00Z","66.379","66.4827","66.188","66.2757","4345"
"XAGUSD","30m","2025-12-18T05:30:00Z","66.2727","66.467","66.245","66.3757","2599"
"XAGUSD","30m","2025-12-18T06:00:00Z","66.3757","66.4657","66.211","66.2763","2416"
"XAGUSD","30m","2025-12-18T06:30:00Z","66.2763","66.3043","66.2","66.297","3455"
